city,year,weekofyear,total_cases
sj,2008,18,9
sj,2008,19,11
sj,2008,20,4
sj,2008,21,0
sj,2008,22,5
sj,2008,23,3
sj,2008,24,8
sj,2008,25,10
sj,2008,26,11
sj,2008,27,11
sj,2008,28,17
sj,2008,29,9
sj,2008,30,17
sj,2008,31,11
sj,2008,32,21
sj,2008,33,21
sj,2008,34,16
sj,2008,35,22
sj,2008,36,23
sj,2008,37,26
sj,2008,38,25
sj,2008,39,22
sj,2008,40,30
sj,2008,41,21
sj,2008,42,25
sj,2008,43,26
sj,2008,44,20
sj,2008,45,29
sj,2008,46,25
sj,2008,47,27
sj,2008,48,26
sj,2008,49,26
sj,2008,50,27
sj,2008,51,24
sj,2008,52,29
sj,2009,1,10
sj,2009,2,10
sj,2009,3,7
sj,2009,4,5
sj,2009,5,9
sj,2009,6,6
sj,2009,7,11
sj,2009,8,9
sj,2009,9,10
sj,2009,10,8
sj,2009,11,10
sj,2009,12,5
sj,2009,13,5
sj,2009,14,11
sj,2009,15,5
sj,2009,16,4
sj,2009,17,8
sj,2009,18,9
sj,2009,19,5
sj,2009,20,11
sj,2009,21,11
sj,2009,22,14
sj,2009,23,8
sj,2009,24,11
sj,2009,25,13
sj,2009,26,12
sj,2009,27,5
sj,2009,28,10
sj,2009,29,10
sj,2009,30,11
sj,2009,31,12
sj,2009,32,13
sj,2009,33,21
sj,2009,34,15
sj,2009,35,21
sj,2009,36,19
sj,2009,37,19
sj,2009,38,12
sj,2009,39,17
sj,2009,40,20
sj,2009,41,24
sj,2009,42,19
sj,2009,43,27
sj,2009,44,19
sj,2009,45,16
sj,2009,46,19
sj,2009,47,30
sj,2009,48,27
sj,2009,49,28
sj,2009,50,28
sj,2009,51,26
sj,2009,52,25
sj,2010,53,31
sj,2010,1,9
sj,2010,2,10
sj,2010,3,7
sj,2010,4,10
sj,2010,5,12
sj,2010,6,6
sj,2010,7,7
sj,2010,8,12
sj,2010,9,4
sj,2010,10,18
sj,2010,11,19
sj,2010,12,14
sj,2010,13,7
sj,2010,14,13
sj,2010,15,10
sj,2010,16,15
sj,2010,17,11
sj,2010,18,7
sj,2010,19,14
sj,2010,20,11
sj,2010,21,12
sj,2010,22,27
sj,2010,23,13
sj,2010,24,15
sj,2010,25,21
sj,2010,26,27
sj,2010,27,18
sj,2010,28,24
sj,2010,29,20
sj,2010,30,24
sj,2010,31,17
sj,2010,32,24
sj,2010,33,19
sj,2010,34,27
sj,2010,35,15
sj,2010,36,24
sj,2010,37,24
sj,2010,38,23
sj,2010,39,24
sj,2010,40,25
sj,2010,41,32
sj,2010,42,21
sj,2010,43,21
sj,2010,44,22
sj,2010,45,32
sj,2010,46,17
sj,2010,47,20
sj,2010,48,23
sj,2010,49,22
sj,2010,50,19
sj,2010,51,25
sj,2011,52,22
sj,2011,1,3
sj,2011,2,16
sj,2011,3,8
sj,2011,4,7
sj,2011,5,6
sj,2011,6,6
sj,2011,7,3
sj,2011,8,12
sj,2011,9,6
sj,2011,10,8
sj,2011,11,5
sj,2011,12,7
sj,2011,13,18
sj,2011,14,12
sj,2011,15,8
sj,2011,16,9
sj,2011,17,4
sj,2011,18,10
sj,2011,19,7
sj,2011,20,17
sj,2011,21,24
sj,2011,22,20
sj,2011,23,26
sj,2011,24,30
sj,2011,25,23
sj,2011,26,18
sj,2011,27,26
sj,2011,28,20
sj,2011,29,24
sj,2011,30,26
sj,2011,31,24
sj,2011,32,21
sj,2011,33,23
sj,2011,34,25
sj,2011,35,25
sj,2011,36,21
sj,2011,37,23
sj,2011,38,33
sj,2011,39,30
sj,2011,40,31
sj,2011,41,26
sj,2011,42,31
sj,2011,43,24
sj,2011,44,30
sj,2011,45,30
sj,2011,46,30
sj,2011,47,24
sj,2011,48,27
sj,2011,49,20
sj,2011,50,25
sj,2011,51,19
sj,2012,52,22
sj,2012,1,2
sj,2012,2,9
sj,2012,3,3
sj,2012,4,7
sj,2012,5,2
sj,2012,6,6
sj,2012,7,7
sj,2012,8,5
sj,2012,9,0
sj,2012,10,9
sj,2012,11,6
sj,2012,12,6
sj,2012,13,10
sj,2012,14,15
sj,2012,15,6
sj,2012,16,14
sj,2012,17,14
sj,2012,18,12
sj,2012,19,11
sj,2012,20,14
sj,2012,21,12
sj,2012,22,8
sj,2012,23,9
sj,2012,24,7
sj,2012,25,7
sj,2012,26,10
sj,2012,27,16
sj,2012,28,18
sj,2012,29,14
sj,2012,30,16
sj,2012,31,13
sj,2012,32,17
sj,2012,33,22
sj,2012,34,17
sj,2012,35,23
sj,2012,36,16
sj,2012,37,9
sj,2012,38,15
sj,2012,39,20
sj,2012,40,26
sj,2012,41,21
sj,2012,42,29
sj,2012,43,30
sj,2012,44,26
sj,2012,45,25
sj,2012,46,26
sj,2012,47,28
sj,2012,48,22
sj,2012,49,24
sj,2012,50,22
sj,2012,51,20
sj,2013,1,4
sj,2013,2,0
sj,2013,3,5
sj,2013,4,3
sj,2013,5,6
sj,2013,6,3
sj,2013,7,5
sj,2013,8,6
sj,2013,9,3
sj,2013,10,4
sj,2013,11,11
sj,2013,12,1
sj,2013,13,8
sj,2013,14,13
sj,2013,15,8
sj,2013,16,2
sj,2013,17,9
iq,2010,26,4
iq,2010,27,3
iq,2010,28,5
iq,2010,29,2
iq,2010,30,3
iq,2010,31,4
iq,2010,32,1
iq,2010,33,3
iq,2010,34,2
iq,2010,35,4
iq,2010,36,3
iq,2010,37,2
iq,2010,38,4
iq,2010,39,2
iq,2010,40,4
iq,2010,41,4
iq,2010,42,4
iq,2010,43,4
iq,2010,44,6
iq,2010,45,4
iq,2010,46,3
iq,2010,47,4
iq,2010,48,5
iq,2010,49,4
iq,2010,50,3
iq,2010,51,2
iq,2011,52,2
iq,2011,1,6
iq,2011,2,7
iq,2011,3,6
iq,2011,4,5
iq,2011,5,6
iq,2011,6,6
iq,2011,7,7
iq,2011,8,7
iq,2011,9,7
iq,2011,10,6
iq,2011,11,6
iq,2011,12,6
iq,2011,13,6
iq,2011,14,7
iq,2011,15,5
iq,2011,16,5
iq,2011,17,5
iq,2011,18,6
iq,2011,19,1
iq,2011,20,3
iq,2011,21,4
iq,2011,22,4
iq,2011,23,1
iq,2011,24,3
iq,2011,25,0
iq,2011,26,2
iq,2011,27,2
iq,2011,28,0
iq,2011,29,2
iq,2011,30,2
iq,2011,31,1
iq,2011,32,2
iq,2011,33,0
iq,2011,34,3
iq,2011,35,2
iq,2011,36,0
iq,2011,37,3
iq,2011,38,2
iq,2011,39,3
iq,2011,40,2
iq,2011,41,3
iq,2011,42,5
iq,2011,43,4
iq,2011,44,3
iq,2011,45,3
iq,2011,46,5
iq,2011,47,4
iq,2011,48,3
iq,2011,49,4
iq,2011,50,3
iq,2011,51,3
iq,2012,52,4
iq,2012,1,6
iq,2012,2,6
iq,2012,3,6
iq,2012,4,5
iq,2012,5,6
iq,2012,6,6
iq,2012,7,5
iq,2012,8,5
iq,2012,9,6
iq,2012,10,6
iq,2012,11,4
iq,2012,12,4
iq,2012,13,7
iq,2012,14,4
iq,2012,15,5
iq,2012,16,7
iq,2012,17,4
iq,2012,18,4
iq,2012,19,3
iq,2012,20,5
iq,2012,21,2
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,3
iq,2012,26,4
iq,2012,27,2
iq,2012,28,2
iq,2012,29,4
iq,2012,30,0
iq,2012,31,0
iq,2012,32,1
iq,2012,33,1
iq,2012,34,2
iq,2012,35,2
iq,2012,36,1
iq,2012,37,1
iq,2012,38,2
iq,2012,39,3
iq,2012,40,1
iq,2012,41,4
iq,2012,42,3
iq,2012,43,3
iq,2012,44,4
iq,2012,45,3
iq,2012,46,4
iq,2012,47,6
iq,2012,48,5
iq,2012,49,4
iq,2012,50,5
iq,2012,51,5
iq,2013,1,7
iq,2013,2,4
iq,2013,3,5
iq,2013,4,6
iq,2013,5,5
iq,2013,6,7
iq,2013,7,7
iq,2013,8,7
iq,2013,9,6
iq,2013,10,6
iq,2013,11,7
iq,2013,12,7
iq,2013,13,7
iq,2013,14,6
iq,2013,15,5
iq,2013,16,6
iq,2013,17,6
iq,2013,18,3
iq,2013,19,5
iq,2013,20,6
iq,2013,21,4
iq,2013,22,5
iq,2013,23,4
iq,2013,24,2
iq,2013,25,0
iq,2013,26,2
