city,year,weekofyear,total_cases
sj,2008,18,18
sj,2008,19,18
sj,2008,20,18
sj,2008,21,18
sj,2008,22,18
sj,2008,23,18
sj,2008,24,17
sj,2008,25,16
sj,2008,26,17
sj,2008,27,17
sj,2008,28,17
sj,2008,29,17
sj,2008,30,20
sj,2008,31,22
sj,2008,32,22
sj,2008,33,24
sj,2008,34,24
sj,2008,35,26
sj,2008,36,29
sj,2008,37,33
sj,2008,38,36
sj,2008,39,39
sj,2008,40,42
sj,2008,41,42
sj,2008,42,43
sj,2008,43,42
sj,2008,44,38
sj,2008,45,37
sj,2008,46,35
sj,2008,47,30
sj,2008,48,25
sj,2008,49,19
sj,2008,50,14
sj,2008,51,11
sj,2008,52,8
sj,2009,1,23
sj,2009,2,21
sj,2009,3,17
sj,2009,4,14
sj,2009,5,14
sj,2009,6,12
sj,2009,7,11
sj,2009,8,11
sj,2009,9,12
sj,2009,10,11
sj,2009,11,13
sj,2009,12,12
sj,2009,13,12
sj,2009,14,10
sj,2009,15,8
sj,2009,16,7
sj,2009,17,8
sj,2009,18,6
sj,2009,19,4
sj,2009,20,3
sj,2009,21,1
sj,2009,22,0
sj,2009,23,3
sj,2009,24,4
sj,2009,25,6
sj,2009,26,9
sj,2009,27,13
sj,2009,28,15
sj,2009,29,18
sj,2009,30,20
sj,2009,31,24
sj,2009,32,28
sj,2009,33,31
sj,2009,34,32
sj,2009,35,35
sj,2009,36,38
sj,2009,37,38
sj,2009,38,39
sj,2009,39,40
sj,2009,40,43
sj,2009,41,45
sj,2009,42,47
sj,2009,43,48
sj,2009,44,49
sj,2009,45,49
sj,2009,46,46
sj,2009,47,45
sj,2009,48,46
sj,2009,49,42
sj,2009,50,37
sj,2009,51,33
sj,2009,52,31
sj,2010,53,27
sj,2010,1,23
sj,2010,2,21
sj,2010,3,19
sj,2010,4,19
sj,2010,5,17
sj,2010,6,15
sj,2010,7,14
sj,2010,8,15
sj,2010,9,15
sj,2010,10,15
sj,2010,11,15
sj,2010,12,13
sj,2010,13,13
sj,2010,14,16
sj,2010,15,17
sj,2010,16,19
sj,2010,17,18
sj,2010,18,21
sj,2010,19,19
sj,2010,20,15
sj,2010,21,14
sj,2010,22,15
sj,2010,23,18
sj,2010,24,20
sj,2010,25,18
sj,2010,26,21
sj,2010,27,23
sj,2010,28,27
sj,2010,29,26
sj,2010,30,27
sj,2010,31,28
sj,2010,32,31
sj,2010,33,32
sj,2010,34,33
sj,2010,35,34
sj,2010,36,37
sj,2010,37,38
sj,2010,38,40
sj,2010,39,38
sj,2010,40,39
sj,2010,41,41
sj,2010,42,42
sj,2010,43,41
sj,2010,44,40
sj,2010,45,39
sj,2010,46,35
sj,2010,47,29
sj,2010,48,24
sj,2010,49,16
sj,2010,50,15
sj,2010,51,14
sj,2011,52,8
sj,2011,1,23
sj,2011,2,19
sj,2011,3,15
sj,2011,4,13
sj,2011,5,13
sj,2011,6,11
sj,2011,7,9
sj,2011,8,10
sj,2011,9,10
sj,2011,10,9
sj,2011,11,8
sj,2011,12,9
sj,2011,13,8
sj,2011,14,8
sj,2011,15,6
sj,2011,16,4
sj,2011,17,2
sj,2011,18,0
sj,2011,19,1
sj,2011,20,4
sj,2011,21,3
sj,2011,22,2
sj,2011,23,2
sj,2011,24,5
sj,2011,25,6
sj,2011,26,9
sj,2011,27,15
sj,2011,28,18
sj,2011,29,20
sj,2011,30,25
sj,2011,31,24
sj,2011,32,27
sj,2011,33,29
sj,2011,34,32
sj,2011,35,32
sj,2011,36,33
sj,2011,37,36
sj,2011,38,36
